Year,PV factor,CPI,indecies
1975,5.312,0.5066,
1976,5.047,0.5332,1.05250690880379
1977,4.658,0.5778,1.0836459114778694
1978,4.241,0.6345,1.0981308411214954
1979,3.864,0.6965,1.0977147360126085
1980,3.288,0.8185,1.1751615218951903
1981,2.988,0.9008,1.100549786194258
1982,2.725,0.9876,1.0963587921847247
1983,2.727,0.9867,0.9990886998784934
1984,2.622,1.0263,1.040133779264214
1985,2.557,1.0526,1.0256260352723374
1986,2.537,1.0608,1.0077902337070113
1987,2.478,1.086,1.0237556561085974
1988,2.396,1.123,1.0340699815837937
1989,2.288,1.176,1.047195013357079
1990,2.155,1.249,1.0620748299319729
1991,2.016,1.335,1.0688550840672537
1992,1.943,1.385,1.0374531835205993
1993,1.891,1.423,1.027436823104693
1994,1.831,1.47,1.033028812368236
1995,1.774,1.517,1.0319727891156463
1996,1.722,1.563,1.0303230059327622
1997,1.659,1.622,1.0377479206653872
1998,1.612,1.6695,1.029284833538841
1999,1.561,1.7245,1.032943995208146
2000,1.508,1.785,1.035082632647144
2001,1.453,1.8525,1.0378151260504203
2002,1.423,1.891,1.020782726045884
2003,1.402,1.92,1.0153358011634055
2004,1.381,1.948,1.0145833333333334
2005,1.342,2.0055,1.029517453798768
2006,1.295,2.078,1.0361505858888056
2007,1.248,2.1564,1.037728585178056
2008,1.193,2.2563,1.0463272120200333
2009,1.188,2.2659,1.0042547533572663
2010,1.189,2.2632,0.9988084204951675
2011,1.159,2.3228,1.0263343937787204
2012,1.127,2.3874,1.0278112622696745
2013,1.113,2.4182,1.0129010639189078
2014,1.089,2.4713,1.0219584815151765
2015,1.078,2.4962,1.0100756686764052
2016,1.056,2.5496,1.0213925166252704
2017,1.024,2.6274,1.0305145905240038
2018,1.0,2.6911,1.024244500266423
2019,0.981,2.7437,1.0195459105941809
2020,0.963,2.7943,1.0184422495170753
2021,0.952,2.8279,1.0120244784024623
2022,0.942,2.8556,1.0097952544290816
2023,0.935,2.8797,1.008439557360975
2024,0.927,2.9023,1.0078480397263603
2025,0.919,2.9275,1.0086827688385076
2026,0.91,2.9561,1.0097694278394533
2027,0.901,2.9854,1.0099117079936402
2028,0.893,3.0144,1.0097139411804115
2029,0.883,3.0478,1.0110801486199574
2030,0.872,3.0868,1.0127961152306582
2031,0.859,3.1313,1.014416223921213
2032,0.846,3.1822,1.0162552294574139
2033,0.831,3.2368,1.0171579410470744
2034,0.816,3.2977,1.0188148788927336
2035,0.799,3.3668,1.0209539982411984
2036,0.782,3.4415,1.0221872401093026
2037,0.764,3.5221,1.023420020339968
2038,0.746,3.6074,1.0242185060049402
2039,0.727,3.7013,1.026029827576648
2040,0.709,3.7974,1.0259638505389999
2041,0.691,3.8958,1.0259124664243955
2042,0.673,3.9993,1.026567072231634
2043,0.655,4.1074,1.0270297302027855
2044,0.637,4.2218,1.02785216925549
2045,0.621,4.3368,1.0272395660618694
2046,0.605,4.4493,1.0259407858328722
2047,0.59,4.5578,1.024385858449644
2048,0.578,4.6596,1.0223353372240993
2049,0.565,4.759,1.0213323032019916
2050,0.554,4.8582,1.0208447152763185
