Year,Community Transit,Everett Transit,King County Metro,Kitsap Transit,Pierce Transit,Sound Transit
2001,0.006,0.003,0.008,0.005,0.003,0.004
2002,0.009,0.003,0.008,0.008,0.006,0.004
2003,0.009,0.003,0.008,0.008,0.006,0.004
2004,0.009,0.003,0.008,0.008,0.006,0.004
2005,0.009,0.006,0.008,0.008,0.006,0.004
2006,0.009,0.006,0.008,0.008,0.006,0.004
2007,0.009,0.006,0.009,0.008,0.006,0.004
2008,0.009,0.006,0.009,0.008,0.006,0.004
2009,0.009,0.006,0.009,0.008,0.006,0.009
2010,0.009,0.006,0.009,0.008,0.006,0.009
2011,0.009,0.006,0.009,0.008,0.006,0.009
2012,0.009,0.006,0.009,0.008,0.006,0.009
2013,0.009,0.006,0.009,0.008,0.006,0.009
2014,0.009,0.006,0.009,0.008,0.006,0.009
2015,0.009,0.006,0.009,0.008,0.006,0.009
2016,0.012,0.006,0.009,0.008,0.006,0.009
2017,0.012,0.006,0.009,0.008,0.006,0.009
2018,0.012,0.006,0.009,0.008,0.006,0.009
2019,0.012,0.006,0.009,0.008,0.006,0.009
2020,0.012,0.006,0.009,0.008,0.006,0.009
2021,0.012,0.006,0.009,0.008,0.006,0.009
2022,0.012,0.006,0.009,0.008,0.006,0.009
2023,0.012,0.006,0.009,0.008,0.006,0.009
2024,0.012,0.006,0.009,0.008,0.006,0.009
2025,0.012,0.006,0.009,0.008,0.006,0.009
2026,0.012,0.006,0.009,0.008,0.006,0.009
2027,0.012,0.006,0.009,0.008,0.006,0.009
2028,0.012,0.006,0.009,0.008,0.006,0.009
2029,0.012,0.006,0.009,0.008,0.006,0.009
2030,0.012,0.006,0.009,0.008,0.006,0.009
2031,0.012,0.006,0.009,0.008,0.006,0.009
2032,0.012,0.006,0.009,0.008,0.006,0.009
2033,0.012,0.006,0.009,0.008,0.006,0.009
2034,0.012,0.006,0.009,0.008,0.006,0.009
2035,0.012,0.006,0.009,0.008,0.006,0.009
2036,0.012,0.006,0.009,0.008,0.006,0.009
2037,0.012,0.006,0.009,0.008,0.006,0.009
2038,0.012,0.006,0.009,0.008,0.006,0.009
2039,0.012,0.006,0.009,0.008,0.006,0.009
2040,0.012,0.006,0.009,0.008,0.006,0.009
2041,0.012,0.006,0.009,0.008,0.006,0.009
2042,0.012,0.006,0.009,0.008,0.006,0.009
2043,0.012,0.006,0.009,0.008,0.006,0.009
2044,0.012,0.006,0.009,0.008,0.006,0.009
2045,0.012,0.006,0.009,0.008,0.006,0.009
2046,0.012,0.006,0.009,0.008,0.006,0.009
2047,0.012,0.006,0.009,0.008,0.006,0.009
2048,0.012,0.006,0.009,0.008,0.006,0.009
2049,0.012,0.006,0.009,0.008,0.006,0.009
2050,0.012,0.006,0.009,0.008,0.006,0.009
