,State Ferries,State Highways,Ref 51
1988,,90%,
1989,,90%,
1990,,90%,
1991,,100%,
1992,,77%,
1993,,105%,
1994,,96%,
1995,,100%,
1996,,81%,
1997,,86%,
1998,,81%,
1999,,70%,
2000,,74%,
2001,170%,100%,111%
2002,170%,135%,111%
2003,170%,93%,111%
2004,170%,93%,111%
2005,170%,93%,111%
2006,170%,93%,111%
2007,170%,93%,111%
2008,170%,93%,111%
2009,170%,93%,111%
2010,170%,86%,111%
2011,170%,86%,111%
2012,170%,86%,111%
2013,170%,95%,111%
2014,150%,95%,111%
2015,150%,90%,111%
2016,150%,90%,111%
2017,150%,90%,111%
2018,150%,90%,111%
2019,150%,90%,111%
2020,140%,90%,111%
2021,140%,90%,111%
2022,140%,90%,111%
2023,140%,90%,111%
2024,140%,90%,111%
2025,140%,90%,111%
2026,140%,90%,111%
2027,140%,90%,111%
2028,140%,90%,111%
2029,140%,90%,111%
2030,140%,90%,111%
2031,140%,90%,111%
2032,140%,90%,111%
2033,140%,90%,111%
2034,140%,90%,111%
2035,140%,90%,111%
2036,140%,90%,111%
2037,140%,90%,111%
2038,140%,90%,111%
2039,140%,90%,111%
2040,140%,90%,111%
2041,140%,90%,111%
2042,140%,90%,111%
2043,140%,90%,111%
2044,140%,90%,111%
2045,140%,90%,111%
2046,140%,90%,111%
2047,140%,90%,111%
2048,140%,90%,111%
2049,140%,90%,111%
2050,140%,90%,111%
